,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_brk-a_us_d,Najwyzszy_brk-a_us_d,Najnizszy_brk-a_us_d,Zamkniecie_brk-a_us_d,Wolumen_brk-a_us_d,Otwarcie_xom_us_d,Najwyzszy_xom_us_d,Najnizszy_xom_us_d,Zamkniecie_xom_us_d,Wolumen_xom_us_d,Otwarcie_pfe_us_d,Najwyzszy_pfe_us_d,Najnizszy_pfe_us_d,Zamkniecie_pfe_us_d,Wolumen_pfe_us_d,Otwarcie_^spx_d,Najwyzszy_^spx_d,Najnizszy_^spx_d,Zamkniecie_^spx_d,Wolumen_^spx_d,Otwarcie_tsla_us_d,Najwyzszy_tsla_us_d,Najnizszy_tsla_us_d,Zamkniecie_tsla_us_d,Wolumen_tsla_us_d,Otwarcie_ibm_us_d,Najwyzszy_ibm_us_d,Najnizszy_ibm_us_d,Zamkniecie_ibm_us_d,Wolumen_ibm_us_d,Otwarcie_msft_us_d,Najwyzszy_msft_us_d,Najnizszy_msft_us_d,Zamkniecie_msft_us_d,Wolumen_msft_us_d,Otwarcie_aapl_us_d,Najwyzszy_aapl_us_d,Najnizszy_aapl_us_d,Zamkniecie_aapl_us_d,Wolumen_aapl_us_d,Otwarcie_t_us_d,Najwyzszy_t_us_d,Najnizszy_t_us_d,Zamkniecie_t_us_d,Wolumen_t_us_d,Otwarcie_ms_us_d,Najwyzszy_ms_us_d,Najnizszy_ms_us_d,Zamkniecie_ms_us_d,Wolumen_ms_us_d
Otwarcie_xom_us_d,0.41636952349722733,0.41462216082796277,0.41799025756199637,0.4152984934396728,-0.25678002694494456,0.49262787323224133,0.4916988588175092,0.4907277012593881,0.4911105358877877,0.6131567329237929,1.0,0.9992145606434026,0.9992498549939243,0.9985052550089948,-0.3660351310684544,0.512659455822246,0.5111157080577006,0.5153769531295591,0.5134269022575768,-0.30512187828603143,0.37063490223253776,0.37085876801722506,0.37044845581741254,0.37042161324048195,-0.0920900281369025,0.31968237976603836,0.31985282121311953,0.31870338032620044,0.31863879144874285,0.02484224832865275,0.5178068407055146,0.5178247130942223,0.5158756172604996,0.5171681576268877,-0.19408847553834,0.3024952748183602,0.30293356265537996,0.30216721365666516,0.3024506816297428,-0.27780350280042737,0.3641409485733749,0.36425743109237946,0.3646772286171397,0.3644366381747745,-0.32273850083915534,0.2569849697777079,0.25712885090113985,0.25655546093645215,0.2573341783702652,-0.2213937238193369,0.4631358575707681,0.46218595832446524,0.4643910355746504,0.4634496775649527,-0.2972051155642537
Najwyzszy_xom_us_d,0.4242071514504851,0.42259648469604866,0.4257479781992419,0.4232566141419109,-0.2550166625891703,0.5004644404609839,0.4997599574819734,0.498599266766007,0.49917487660842047,0.6224687007882787,0.9992145606434026,1.0,0.99885882174089,0.9993329853502452,-0.352883791988604,0.5197380368073532,0.5183711763987722,0.5224184965532067,0.5206608549750716,-0.30356184787750456,0.3788425581538651,0.3792731232993502,0.37863022343116404,0.37880432375926176,-0.0802248587488149,0.3303009253727098,0.33053748206851336,0.3293135345457355,0.32929502606801997,0.02709358137133214,0.5132164480162845,0.5140434784718363,0.511284957349582,0.513304803991915,-0.1910464979021467,0.3130998516948259,0.3136067808590506,0.31274500253070536,0.313102821815913,-0.2761802036771779,0.37508489474459994,0.3752860033348212,0.37564114079445865,0.3754754049389468,-0.3246826458270625,0.25647431233596685,0.257417873739371,0.2557192135595184,0.25724453742284953,-0.21804682768331496,0.47155422857371476,0.47095654198237624,0.4728546115392067,0.4722160011456164,-0.2965359304660475
Najnizszy_xom_us_d,0.4085068422551544,0.40669207475986224,0.4103373502905476,0.4075551017537439,-0.26036418422491375,0.4850920030089529,0.48418456783667885,0.4834944472563159,0.4838428743820878,0.6042774656481403,0.9992498549939243,0.99885882174089,1.0,0.9992032485649094,-0.3803376888372989,0.5055998990901884,0.5040044929288087,0.5085564692249009,0.5065164484827098,-0.3064133916148601,0.36314502274132276,0.36334388203710805,0.3632959618405935,0.3631726230633335,-0.10741471789838365,0.3118031572602819,0.31197020661936203,0.31094214726656305,0.31084268453400904,0.01965261662076916,0.5205095562188558,0.5205443910388879,0.5195980227344146,0.5207101321250015,-0.19781853228720897,0.29331968016441984,0.29366693569773616,0.2931088767904155,0.29331377934480873,-0.28092660963021837,0.3550585308181648,0.3551297532030998,0.3557277209711676,0.3554421850762986,-0.3214614355892383,0.25458706173707285,0.25470054874087306,0.2546934338468298,0.25534134677547626,-0.22682851788704458,0.4559602927139862,0.45503437451344586,0.4575041799445418,0.45651988158977397,-0.2993503023816217
Zamkniecie_xom_us_d,0.41545490693230647,0.41378248315005633,0.4171798480439532,0.41466006159408375,-0.25754223227963213,0.4920353205865783,0.49136285981947286,0.4904370320507521,0.4911068607927873,0.6136041514283872,0.9985052550089948,0.9993329853502452,0.9992032485649094,1.0,-0.3659759289266535,0.5119176414834165,0.5104884607027725,0.5148006189814324,0.5130819947899703,-0.3043171977567073,0.3701668976156903,0.37061947212137264,0.3702956107763498,0.3705350832821314,-0.09450496990163626,0.321131565596574,0.3213460954549801,0.3202360617199579,0.3202655980236583,0.02223342813040638,0.5153732711532508,0.5161504014328229,0.5143039874914493,0.5165708566715911,-0.19372576082868664,0.30280260875555265,0.3032748560207174,0.30258083014254844,0.30297323984531443,-0.27782965455965036,0.36481711994619986,0.3650080909216545,0.3655095973611885,0.3654016256765722,-0.3224230166923511,0.25381290579342514,0.25468806492222573,0.2534960164364323,0.2551168700920927,-0.22269625746950103,0.463198566707168,0.46261863429421407,0.46476049552229187,0.46421301200183357,-0.29754466984236516
Wolumen_xom_us_d,-0.10901194115451782,-0.1049192587100445,-0.11407398471432853,-0.10923526539530079,0.4688255270913339,-0.09835768491830717,-0.09427835109318256,-0.10360848215030384,-0.09909387759814471,0.1705848223916649,-0.3660351310684544,-0.352883791988604,-0.3803376888372989,-0.3659759289266535,1.0,-0.16314003045452213,-0.15745387484850606,-0.1699374011202367,-0.16382688095018405,0.4253268794981524,-0.06589995881632334,-0.06148182979776843,-0.07301993419519014,-0.06765249782334706,0.6633680655693585,0.13738196313462614,0.1393296983674777,0.13455803051571097,0.13626980632067864,-0.016994487136330186,-0.301404040728986,-0.2881470231879726,-0.3169205113743242,-0.30284305823403534,0.3926897621464341,0.07807174595712169,0.08083448440605269,0.07496481865176573,0.07752318664100945,0.48537003808528917,0.08565148362634109,0.08778875327301502,0.082737662273189,0.08484689373114786,0.34800808461772215,-0.3500744993316486,-0.3411547648890201,-0.3593853759774166,-0.35058341818925337,0.404479647988675,-0.019886773689419338,-0.015822164607757556,-0.025151662083492343,-0.020573538296637058,0.4018101018084187
Otwarcie_pfe_us_d,0.9582072034796513,0.9579663417394635,0.9581800574711165,0.9577056498005577,-0.4752043174390444,0.9633679129906466,0.9631850584482917,0.9632320580848647,0.9631227706559208,0.5305299203915892,0.512659455822246,0.5197380368073532,0.5055998990901884,0.5119176414834165,-0.16314003045452213,1.0,0.9996976037120071,0.9996604043579671,0.9993789081650432,-0.4383326296436307,0.9446870481870471,0.9450494046934399,0.944038915552534,0.9444305961237047,0.1530978635591366,0.7658459901139515,0.7658403803259834,0.76558483964014,0.7657624050196568,0.33453292342714347,0.21253061810998203,0.21970731219726253,0.2024444977630357,0.2104450689062386,-0.22436539663991018,0.8885621506852598,0.8884853897344098,0.8882115421967263,0.8882265451812886,-0.5097343211883127,0.8715685243229899,0.8715123075237208,0.8719802077167037,0.8716925526226185,-0.6814392716141241,0.6539836920707747,0.6584441559680446,0.6494596388550963,0.6534328499438695,-0.1170674198538445,0.886639715852998,0.8866430122077573,0.8866255228642186,0.8865239132447051,-0.5091688678500296
Najwyzszy_pfe_us_d,0.9573694868123023,0.9573286259646985,0.9574115027174493,0.9571102997756687,-0.47163852699266684,0.9631788965200371,0.9631175348478607,0.963036803686383,0.9630398552365245,0.5325474567543425,0.5111157080577006,0.5183711763987722,0.5040044929288087,0.5104884607027725,-0.15745387484850606,0.9996976037120071,1.0,0.9995746708609542,0.9997099980537905,-0.4329217795056547,0.9444722185384539,0.9449574281680008,0.9437932361821767,0.9443025140661081,0.15810630899744993,0.7678452988089266,0.7678570406638594,0.7675409962959823,0.7677434854901052,0.33378869315985593,0.2105183265072543,0.21810720562485525,0.20046177386960246,0.20882118427808624,-0.22191293313167043,0.8896395392696536,0.8896459229477911,0.8892779714749198,0.8893629515012067,-0.5058352061616166,0.8727358727703887,0.8727460334217296,0.873131711671518,0.872910833252259,-0.6787176099028107,0.6502056497926909,0.6549216767013382,0.645676236617011,0.6498667524880778,-0.11374433367065503,0.8869612260166396,0.8870487616861444,0.8869143967184617,0.8869060014723946,-0.5061933694430152
Najnizszy_pfe_us_d,0.9584648252373817,0.9582717042393823,0.9586925282641966,0.9581908206106213,-0.47971174600620037,0.963650646322406,0.9634641884298739,0.9636550608269863,0.9635271995550865,0.5285335680172668,0.5153769531295591,0.5224184965532067,0.5085564692249009,0.5148006189814324,-0.1699374011202367,0.9996604043579671,0.9995746708609542,1.0,0.9996922480682154,-0.4454700517220799,0.9445197964564392,0.9448748724802782,0.9440402867703749,0.9444014901355415,0.1454589440586044,0.7637603559477761,0.7637250010483896,0.7635396530461993,0.76367612797005,0.3339830897865477,0.21530580873448013,0.2225075105603348,0.20566978639852665,0.2136548351470576,-0.22785219261970652,0.8870912601522033,0.8870100183844949,0.8868336341588534,0.8868375486327058,-0.5140098493450785,0.8702219329556494,0.8701544887703186,0.8707023292988281,0.8704125772658837,-0.6839379983257029,0.6565115572961041,0.6609211455154549,0.6522306664931524,0.6561441556841434,-0.12096543193835317,0.8864250527369741,0.8864032827261926,0.8865230909846533,0.8863900633736695,-0.5125254324509635
Zamkniecie_pfe_us_d,0.9576399199943587,0.9576039406152252,0.9578564924117051,0.9575840803610289,-0.47581769247085975,0.9632336425530057,0.9631805469766492,0.9632235569843868,0.9632879094086828,0.5307067545101875,0.5134269022575768,0.5206608549750716,0.5065164484827098,0.5130819947899703,-0.16382688095018405,0.9993789081650432,0.9997099980537905,0.9996922480682154,1.0,-0.43931556979111575,0.9442033866553122,0.9447030020364979,0.943699677275258,0.9442792152439068,0.15145102120628828,0.7657421937718795,0.7657351307568404,0.7654814937512959,0.7657171601802831,0.33355451276147624,0.21250332028237684,0.22011584032707993,0.2028680084908413,0.21147194225207314,-0.2246482112133216,0.8881919394577361,0.8882055184854124,0.8879211280307733,0.8880677468804262,-0.5099464165937072,0.8713082293481101,0.8713205866087063,0.8717756532630856,0.8716150797185287,-0.6812160518876156,0.6527401315630778,0.6574047953477175,0.6484102192410975,0.6527013447171702,-0.11744204442099515,0.8865652180253248,0.8866476577545958,0.8866377392813185,0.8866800487514716,-0.5094157034827719
Wolumen_pfe_us_d,-0.4508982160326352,-0.44936369394006165,-0.4527706866211497,-0.45118886345922127,0.4668378001182248,-0.4207845439945443,-0.419161428082009,-0.4229963835720664,-0.4210577318151106,-0.07653303062181721,-0.30512187828603143,-0.30356184787750456,-0.3064133916148601,-0.3043171977567073,0.4253268794981524,-0.4383326296436307,-0.4329217795056547,-0.4454700517220799,-0.43931556979111575,1.0,-0.39525685242366326,-0.39377197182345264,-0.39781623924822257,-0.39606905314234875,0.26218369960376553,-0.185038410508051,-0.18440913095177533,-0.1859191437252579,-0.18503887438747224,-0.20022922809511506,-0.17755657284465085,-0.17473988501107157,-0.18014612047504144,-0.17731257423498806,0.2892713721264957,-0.29406875611917355,-0.29344249325522254,-0.295210913250795,-0.2945526517008445,0.48682207335683864,-0.2856871633005867,-0.28503233603148614,-0.2868704023249324,-0.28625832621572017,0.46035787325573585,-0.49622266432437195,-0.49394024424813504,-0.497787191118232,-0.49589922069460113,0.2820473863528052,-0.32665748860483773,-0.3252813661807765,-0.3289012688261817,-0.3272944659617993,0.44329244436773246
Otwarcie_^spx_d,0.9714707231921238,0.9712172408139967,0.9716243487551023,0.9711048967285494,-0.45761745439714524,0.9788151093200281,0.9786388213311699,0.9793609579797203,0.9789224142607804,0.5550062219855625,0.37063490223253776,0.3788425581538651,0.36314502274132276,0.3701668976156903,-0.06589995881632334,0.9446870481870471,0.9444722185384539,0.9445197964564392,0.9442033866553122,-0.39525685242366326,1.0,0.9998798939323834,0.999818708931292,0.9996857948221384,0.1850858881063461,0.8618828469386121,0.861715652302545,0.8622837360044204,0.8620861995597323,0.31426736873571376,0.19426609853075888,0.20150361595319574,0.1842493083075673,0.191800675851991,-0.20124420051247344,0.9664655150874304,0.9659505987596316,0.9667901529880284,0.9662254751409752,-0.4897993823441736,0.9471921911347495,0.9466387523643545,0.947872952764827,0.9471434294008012,-0.6590120354609639,0.6347751876129101,0.6389980734510632,0.6307880078276061,0.6337513982086934,-0.08704171808919502,0.9561996893560278,0.9561988241602537,0.9560615544199518,0.9559025057478981,-0.49921307780324
Najwyzszy_^spx_d,0.9717164646229155,0.9715628773493631,0.9718601890842484,0.9714511825982568,-0.45543161020053907,0.9791088985626744,0.9790776124623988,0.979662343606903,0.979380438729585,0.557769529673431,0.37085876801722506,0.3792731232993502,0.36334388203710805,0.37061947212137264,-0.06148182979776843,0.9450494046934399,0.9449574281680008,0.9448748724802782,0.9447030020364979,-0.39377197182345264,0.9998798939323834,1.0,0.9997556100708038,0.9998295804037497,0.19004138685301525,0.8629175235115427,0.8628546474072845,0.8633442213286879,0.863280899314565,0.3149440962900165,0.19256102370098774,0.20021474298238368,0.182580399168723,0.1906169800649207,-0.1995103359843659,0.9674176079032523,0.9670393956277231,0.9677706947296503,0.9673470045450872,-0.4873173959728367,0.948322599406705,0.9478909688647982,0.9490352901032894,0.9484394094663438,-0.6578041368944502,0.6328344547026171,0.6372990883411982,0.6288464023324379,0.6320615535858201,-0.08549184706714617,0.9564084256583022,0.95656103698919,0.9563024094475976,0.956303046516652,-0.49692301783384996
Najnizszy_^spx_d,0.9710822592483567,0.9707952048862153,0.9713951821094513,0.9708219393414506,-0.46180604830159255,0.9782736939324689,0.9781046976060582,0.9790386657321936,0.9785945852545245,0.5515809407529171,0.37044845581741254,0.37863022343116404,0.3632959618405935,0.3702956107763498,-0.07301993419519014,0.944038915552534,0.9437932361821767,0.9440402867703749,0.943699677275258,-0.39781623924822257,0.999818708931292,0.9997556100708038,1.0,0.9998496289204588,0.17684239369511864,0.8604499789956153,0.8603080140916517,0.8610393619283232,0.8608984901105188,0.31275896574166506,0.19599661836450855,0.20320770910272198,0.18659732879062021,0.19415117842589874,-0.20476009956357763,0.9652894760246737,0.9647800496029273,0.96581099907343,0.9652556573025509,-0.49441388399653696,0.945756085152915,0.9452233157260569,0.9466234253813176,0.9459188847928792,-0.6614830456941622,0.6365441628800258,0.6406949847531607,0.6328672738250853,0.635781482423621,-0.09156172458355395,0.9558841920975827,0.9559053630756031,0.9559669353931148,0.9558149699752004,-0.5029710765919752
Zamkniecie_^spx_d,0.9713427126502592,0.9711571584690868,0.9716190523505326,0.9712140661596185,-0.4590438616609826,0.9785660732638671,0.9785360615826905,0.9793037979857048,0.9790797018463251,0.5546683282742261,0.37042161324048195,0.37880432375926176,0.3631726230633335,0.3705350832821314,-0.06765249782334706,0.9444305961237047,0.9443025140661081,0.9444014901355415,0.9442792152439068,-0.39606905314234875,0.9996857948221384,0.9998295804037497,0.9998496289204588,1.0,0.18297231298574534,0.8614746697897003,0.8614286788529596,0.8620542277942816,0.8621035551436554,0.3139431374773372,0.19385139261357068,0.2014705950781841,0.1843795512650495,0.1926440164609338,-0.20223406865277777,0.9663093048165297,0.9659391717608076,0.966830005015091,0.9664837892146414,-0.4912831427425246,0.9469338025841146,0.9465216914873308,0.9478055222350824,0.947298401389271,-0.6598846054354106,0.6345599383421073,0.6389518351333315,0.6308336736745246,0.6341312422190015,-0.08924977015974683,0.9560425216036229,0.9561981430781487,0.9561107852745018,0.9561834334812027,-0.5002260431685193
